ColumnName,ColumnType
Cell_Mean_droplets_Location_MaxIntensity_X_lipid,feature
Cell_Mean_droplets_Location_MaxIntensity_Y_lipid,feature
Cell_Mean_droplets_Location_MaxIntensity_Z_lipid,feature
Cell_Mean_droplets_Number_Object_Number,metadata
Cell_Number_Object_Number,metadata
Cell_ObjectSkeleton_NumberBranchEnds_MitoSkel,feature
Cell_ObjectSkeleton_NumberNonTrunkBranches_MitoSkel,feature
Cell_ObjectSkeleton_NumberTrunks_MitoSkel,feature
Cell_ObjectSkeleton_TotalObjectSkeletonLength_MitoSkel,feature
Cell_RadialDistribution_FracAtD_Cellmask_1of6,feature
Cell_RadialDistribution_FracAtD_Cellmask_2of6,feature
Cell_RadialDistribution_FracAtD_Cellmask_3of6,feature
Cell_RadialDistribution_FracAtD_Cellmask_4of6,feature
Cell_RadialDistribution_FracAtD_Cellmask_5of6,feature
Cell_RadialDistribution_FracAtD_Cellmask_6of6,feature
Cell_RadialDistribution_FracAtD_DNA_1of6,feature
Cell_RadialDistribution_FracAtD_DNA_2of6,feature
Cell_RadialDistribution_FracAtD_DNA_3of6,feature
Cell_RadialDistribution_FracAtD_DNA_4of6,feature
Cell_RadialDistribution_FracAtD_DNA_5of6,feature
Cell_RadialDistribution_FracAtD_DNA_6of6,feature
Cell_RadialDistribution_FracAtD_HNF4a_1of6,feature
Cell_RadialDistribution_FracAtD_HNF4a_2of6,feature
Cell_RadialDistribution_FracAtD_HNF4a_3of6,feature
Cell_RadialDistribution_FracAtD_HNF4a_4of6,feature
Cell_RadialDistribution_FracAtD_HNF4a_5of6,feature
Cell_RadialDistribution_FracAtD_HNF4a_6of6,feature
Cell_RadialDistribution_FracAtD_MT_1of6,feature
Cell_RadialDistribution_FracAtD_MT_2of6,feature
Cell_RadialDistribution_FracAtD_MT_3of6,feature
Cell_RadialDistribution_FracAtD_MT_4of6,feature
Cell_RadialDistribution_FracAtD_MT_5of6,feature
Cell_RadialDistribution_FracAtD_MT_6of6,feature
Cell_RadialDistribution_FracAtD_lipid_1of6,feature
Cell_RadialDistribution_FracAtD_lipid_2of6,feature
Cell_RadialDistribution_FracAtD_lipid_3of6,feature
Cell_RadialDistribution_FracAtD_lipid_4of6,feature
Cell_RadialDistribution_FracAtD_lipid_5of6,feature
Cell_RadialDistribution_FracAtD_lipid_6of6,feature
Cell_RadialDistribution_MeanFrac_Cellmask_1of6,feature
Cell_RadialDistribution_MeanFrac_Cellmask_2of6,feature
Cell_RadialDistribution_MeanFrac_Cellmask_3of6,feature
Cell_RadialDistribution_MeanFrac_Cellmask_4of6,feature
Cell_RadialDistribution_MeanFrac_Cellmask_5of6,feature
Cell_RadialDistribution_MeanFrac_Cellmask_6of6,feature
Cell_RadialDistribution_MeanFrac_DNA_1of6,feature
Cell_RadialDistribution_MeanFrac_DNA_2of6,feature
Cell_RadialDistribution_MeanFrac_DNA_3of6,feature
Cell_RadialDistribution_MeanFrac_DNA_4of6,feature
Cell_RadialDistribution_MeanFrac_DNA_5of6,feature
Cell_RadialDistribution_MeanFrac_DNA_6of6,feature
Cell_RadialDistribution_MeanFrac_HNF4a_1of6,feature
Cell_RadialDistribution_MeanFrac_HNF4a_2of6,feature
Cell_RadialDistribution_MeanFrac_HNF4a_3of6,feature
Cell_RadialDistribution_MeanFrac_HNF4a_4of6,feature
Cell_RadialDistribution_MeanFrac_HNF4a_5of6,feature
Cell_RadialDistribution_MeanFrac_HNF4a_6of6,feature
Cell_RadialDistribution_MeanFrac_MT_1of6,feature
Cell_RadialDistribution_MeanFrac_MT_2of6,feature
Cell_RadialDistribution_MeanFrac_MT_3of6,feature
Cell_RadialDistribution_MeanFrac_MT_4of6,feature
Cell_RadialDistribution_MeanFrac_MT_5of6,feature
Cell_RadialDistribution_MeanFrac_MT_6of6,feature
Cell_RadialDistribution_MeanFrac_lipid_1of6,feature
Cell_RadialDistribution_MeanFrac_lipid_2of6,feature
Cell_RadialDistribution_MeanFrac_lipid_3of6,feature
Cell_RadialDistribution_MeanFrac_lipid_4of6,feature
Cell_RadialDistribution_MeanFrac_lipid_5of6,feature
Cell_RadialDistribution_MeanFrac_lipid_6of6,feature
Cell_RadialDistribution_RadialCV_Cellmask_1of6,feature
Cell_RadialDistribution_RadialCV_Cellmask_2of6,feature
Cell_RadialDistribution_RadialCV_Cellmask_3of6,feature
Cell_RadialDistribution_RadialCV_Cellmask_4of6,feature
Cell_RadialDistribution_RadialCV_Cellmask_5of6,feature
Cell_RadialDistribution_RadialCV_Cellmask_6of6,feature
Cell_RadialDistribution_RadialCV_DNA_1of6,feature
Cell_RadialDistribution_RadialCV_DNA_2of6,feature
Cell_RadialDistribution_RadialCV_DNA_3of6,feature
Cell_RadialDistribution_RadialCV_DNA_4of6,feature
Cell_RadialDistribution_RadialCV_DNA_5of6,feature
Cell_RadialDistribution_RadialCV_DNA_6of6,feature
Cell_RadialDistribution_RadialCV_HNF4a_1of6,feature
Cell_RadialDistribution_RadialCV_HNF4a_2of6,feature
Cell_RadialDistribution_RadialCV_HNF4a_3of6,feature
Cell_RadialDistribution_RadialCV_HNF4a_4of6,feature
Cell_RadialDistribution_RadialCV_HNF4a_5of6,feature
Cell_RadialDistribution_RadialCV_HNF4a_6of6,feature
Cell_RadialDistribution_RadialCV_MT_1of6,feature
Cell_RadialDistribution_RadialCV_MT_2of6,feature
Cell_RadialDistribution_RadialCV_MT_3of6,feature
Cell_RadialDistribution_RadialCV_MT_4of6,feature
Cell_RadialDistribution_RadialCV_MT_5of6,feature
Cell_RadialDistribution_RadialCV_MT_6of6,feature
Cell_RadialDistribution_RadialCV_lipid_1of6,feature
Cell_RadialDistribution_RadialCV_lipid_2of6,feature
Cell_RadialDistribution_RadialCV_lipid_3of6,feature
Cell_RadialDistribution_RadialCV_lipid_4of6,feature
Cell_RadialDistribution_RadialCV_lipid_5of6,feature
Cell_RadialDistribution_RadialCV_lipid_6of6,feature
Cytoplasm_Intensity_IntegratedIntensityEdge_Cellmask,feature
Cytoplasm_Intensity_IntegratedIntensityEdge_DNA,feature
Cytoplasm_Intensity_IntegratedIntensityEdge_HNF4a,feature
Cytoplasm_Intensity_IntegratedIntensityEdge_MT,feature
Cytoplasm_Intensity_IntegratedIntensityEdge_lipid,feature
Cytoplasm_Intensity_IntegratedIntensity_Cellmask,feature
Cytoplasm_Intensity_IntegratedIntensity_DNA,feature
Cytoplasm_Intensity_IntegratedIntensity_HNF4a,feature
Cytoplasm_Intensity_IntegratedIntensity_MT,feature
Cytoplasm_Intensity_IntegratedIntensity_lipid,feature
Cytoplasm_Intensity_LowerQuartileIntensity_Cellmask,feature
Cytoplasm_Intensity_LowerQuartileIntensity_DNA,feature
Cytoplasm_Intensity_LowerQuartileIntensity_HNF4a,feature
Cytoplasm_Intensity_LowerQuartileIntensity_MT,feature
Cytoplasm_Intensity_LowerQuartileIntensity_lipid,feature
Cytoplasm_Intensity_MADIntensity_Cellmask,feature
Cytoplasm_Intensity_MADIntensity_DNA,feature
Cytoplasm_Intensity_MADIntensity_HNF4a,feature
Cytoplasm_Intensity_MADIntensity_MT,feature
Cytoplasm_Intensity_MADIntensity_lipid,feature
Cytoplasm_Intensity_MassDisplacement_Cellmask,feature
Cytoplasm_Intensity_MassDisplacement_DNA,feature
Cytoplasm_Intensity_MassDisplacement_HNF4a,feature
Cytoplasm_Intensity_MassDisplacement_MT,feature
Cytoplasm_Intensity_MassDisplacement_lipid,feature
Cytoplasm_Intensity_MaxIntensityEdge_Cellmask,feature
Cytoplasm_Intensity_MaxIntensityEdge_DNA,feature
Cytoplasm_Intensity_MaxIntensityEdge_HNF4a,feature
Cytoplasm_Intensity_MaxIntensityEdge_MT,feature
Cytoplasm_Intensity_MaxIntensityEdge_lipid,feature
Cytoplasm_Intensity_MaxIntensity_Cellmask,feature
Cytoplasm_Intensity_MaxIntensity_DNA,feature
Cytoplasm_Intensity_MaxIntensity_HNF4a,feature
Cytoplasm_Intensity_MaxIntensity_MT,feature
Cytoplasm_Intensity_MaxIntensity_lipid,feature
Cytoplasm_Intensity_MeanIntensityEdge_Cellmask,feature
Cytoplasm_Intensity_MeanIntensityEdge_DNA,feature
Cytoplasm_Intensity_MeanIntensityEdge_HNF4a,feature
Cytoplasm_Intensity_MeanIntensityEdge_MT,feature
Cytoplasm_Intensity_MeanIntensityEdge_lipid,feature
Cytoplasm_Intensity_MeanIntensity_Cellmask,feature
